I0519 21:24:26.438932  1267 server.go:1295] Starting language server process with pid 1267
I0519 21:24:26.439456  1267 server.go:471] Language server will attempt to listen on host localhost
I0519 21:24:26.440347  1267 server.go:485] Language server listening on random port at 51373 for HTTPS (gRPC)
I0519 21:24:26.440653  1267 server.go:492] Language server listening on random port at 51374 for HTTP
W0519 21:24:26.600727  1267 launchmanager.go:68] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
E0519 21:24:26.604584  1267 log.go:398] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
W0519 21:24:26.604915  1267 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
W0519 21:24:26.604938  1267 log_context.go:117] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0519 21:24:26.604966  1267 log.go:398] Failed to poll FetchAvailableModels: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0519 21:24:26.605298  1267 server.go:2240] Auth succeeded, refreshing features and managers
E0519 21:24:26.605339  1267 log.go:398] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
W0519 21:24:26.605518  1267 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
W0519 21:24:26.605530  1267 log_context.go:117] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0519 21:24:26.605554  1267 log.go:398] Failed to poll FetchAvailableModels: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0519 21:24:26.605743  1267 server.go:2246] State refresh took 0ms
I0519 21:24:26.610561  1267 server.go:1904] initialized server successfully in 171.555ms
I0519 21:24:26.610952  1267 auto_updater.go:207] Last check was less than 15 minutes ago, skipping update
I0519 21:24:26.610982  1267 common.go:103] Launching CLI mode
W0519 21:24:26.611047  1267 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
W0519 21:24:26.611073  1267 log_context.go:117] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0519 21:24:26.611092  1267 server.go:604] Failed to get OAuth token: error getting token source from auth provider: You are not logged into Antigravity.
W0519 21:24:26.611106  1267 client.go:81] failed to set auth token
I0519 21:24:26.611230  1267 project.go:64] project: discovered project "/Users/guy/dev/android" (id=dac48734-6756-42e9-be9b-35a7b3df1a0e) via /Users/guy/dev/android/.antigravitycli
I0519 21:24:26.611244  1267 common.go:156] project: using project "/Users/guy/dev/android" (id=dac48734-6756-42e9-be9b-35a7b3df1a0e) at /Users/guy/.gemini/config/projects/dac48734-6756-42e9-be9b-35a7b3df1a0e.json
E0519 21:24:26.611263  1267 common.go:188] Failed to resolve GeminiDir ".gemini": .gemini must be an absolute path: path is not absolute, falling back to default
I0519 21:24:26.611278  1267 common.go:197] CLI app data directory: /Users/guy/.gemini/antigravity-cli
I0519 21:24:26.611288  1267 server.go:200] Creating CLI server backend: product=antigravity workspaceDirs=[] appDataDir=/Users/guy/.gemini/antigravity-cli cascadeManager=true codeAssist=true
I0519 21:24:26.611318  1267 manager.go:249] Initializing CLI store manager for workspace /Users/guy/dev/android
E0519 21:24:26.611680  1267 cli_setting_manager.go:350] failed to propagate telemetry setting: error getting token source: You are not logged into Antigravity.
I0519 21:24:26.611697  1267 cli_setting_manager.go:65] CLI settings initialized: permissions=<nil>, toolPermission=request-review
W0519 21:24:26.611740  1267 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
W0519 21:24:26.611751  1267 log_context.go:117] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0519 21:24:26.611760  1267 server.go:392] failed to get model config: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0519 21:24:26.611838  1267 manager.go:313] CLI store manager initialized successfully
